linked,link,url,name
x,HagermanMain,http://meas.ose.state.nm.us/site.jsp?id=151&status=Y&type=S&dist=2&basin=Roswell,HagermanMain
x,Halford-Independent,http://meas.ose.state.nm.us/site.jsp?id=76&status=Y&type=S&dist=5&basin=Animas River,Halford-Independent
x,Hammond,http://meas.ose.state.nm.us/site.jsp?id=86&status=Y&type=S&dist=5&basin=San Juan River,Hammond
,HammondHwy550,http://meas.ose.state.nm.us/site.jsp?id=244&status=Y&type=S&dist=5&basin=San Juan River,HammondHwy550
x,HarperDitch,http://meas.ose.state.nm.us/site.jsp?id=185&status=Y&type=S&dist=7&basin=Santa Clara Spring,HarperDitch
x,Helton,http://meas.ose.state.nm.us/site.jsp?id=91&status=Y&type=S&dist=5&basin=La Plata River,Helton
x,Heredia,http://meas.ose.state.nm.us/site.jsp?id=201&status=Y&type=S&dist=3&basin=Mimbres Basin,Heredia
x,Hernandez,http://meas.ose.state.nm.us/site.jsp?id=121&status=Y&type=S&dist=6&basin=Lower Chama,Hernandez
x,Heuchling#1,http://meas.ose.state.nm.us/site.jsp?id=100&status=Y&type=S&dist=3&basin=Mimbres Basin,Heuchling#1
x,Heuchling#2,http://meas.ose.state.nm.us/site.jsp?id=101&status=Y&type=S&dist=3&basin=Mimbres Basin,Heuchling#2
x,Heuchling#3,http://meas.ose.state.nm.us/site.jsp?id=136&status=Y&type=S&dist=3&basin=Mimbres Basin,Heuchling#3
x,Heuchling#4,http://meas.ose.state.nm.us/site.jsp?id=137&status=Y&type=S&dist=3&basin=Mimbres Basin,Heuchling#4
x,HighlandPark,http://meas.ose.state.nm.us/site.jsp?id=92&status=Y&type=S&dist=5&basin=La Plata River,HighlandPark
,HighLine,http://meas.ose.state.nm.us/site.jsp?id=22&status=Y&type=S&dist=6&basin=NPT,HighLine
x,Hillside,http://meas.ose.state.nm.us/site.jsp?id=93&status=Y&type=S&dist=5&basin=La Plata River,Hillside
,HolguinRiverPump,http://meas.ose.state.nm.us/site.jsp?id=243&status=Y&type=S&dist=4&basin=Lower Rio Grande Basin,HolguinRiverPump
,Independent,http://meas.ose.state.nm.us/site.jsp?id=247&status=Y&type=S&dist=5&basin=Animas River,Independent
,Indios,http://meas.ose.state.nm.us/site.jsp?id=23&status=Y&type=S&dist=6&basin=NPT,Indios
x,J.P.Gonzales,http://meas.ose.state.nm.us/site.jsp?id=122&status=Y&type=S&dist=6&basin=Lower Chama,J.P.Gonzales
,J.V.Martinez,http://meas.ose.state.nm.us/site.jsp?id=123&status=Y&type=S&dist=6&basin=Lower Chama,J.V.Martinez
x,Jackson,http://meas.ose.state.nm.us/site.jsp?id=95&status=Y&type=S&dist=5&basin=La Plata River,Jackson
x,JacksonDitch,http://meas.ose.state.nm.us/site.jsp?id=171&status=Y&type=S&dist=7&basin=Cimarron River,JacksonDitch
x,JewettValley,http://meas.ose.state.nm.us/site.jsp?id=87&status=Y&type=S&dist=5&basin=San Juan River,JewettValley
x,JoseG.Ortiz,http://meas.ose.state.nm.us/site.jsp?id=24&status=Y&type=S&dist=6&basin=NPT,JoseG.Ortiz
x,Kello-Blancett,http://meas.ose.state.nm.us/site.jsp?id=77&status=Y&type=S&dist=5&basin=Animas River,Kello-Blancett
x,Kenly#1,http://meas.ose.state.nm.us/site.jsp?id=102&status=Y&type=S&dist=3&basin=Mimbres Basin,Kenly#1
x,Kenly#2,http://meas.ose.state.nm.us/site.jsp?id=103&status=Y&type=S&dist=3&basin=Mimbres Basin,Kenly#2
x,Kimmick,http://meas.ose.state.nm.us/site.jsp?id=104&status=Y&type=S&dist=3&basin=Mimbres Basin,Kimmick
x,King,http://meas.ose.state.nm.us/site.jsp?id=105&status=Y&type=S&dist=3&basin=Mimbres Basin,King
,LaCienegaIrrigationDistrict,http://meas.ose.state.nm.us/site.jsp?id=230&status=Y&type=S&dist=6&basin=La Cienega Creek,LaCienegaIrrigationDistrict
,LaCienegaSpring,http://meas.ose.state.nm.us/site.jsp?id=212&status=Y&type=S&dist=6&basin=La Cienega Creek,LaCienegaSpring
x,LaPlataIndian,http://meas.ose.state.nm.us/site.jsp?id=94&status=Y&type=S&dist=5&basin=La Plata River,LaPlataIndian
x,LaPuente,http://meas.ose.state.nm.us/site.jsp?id=124&status=Y&type=S&dist=6&basin=Lower Chama,LaPuente
,Larga,http://meas.ose.state.nm.us/site.jsp?id=25&status=Y&type=S&dist=6&basin=NPT,Larga
x,Larkin-Reynolds,http://meas.ose.state.nm.us/site.jsp?id=96&status=Y&type=S&dist=5&basin=La Plata River,Larkin-Reynolds
,LasJoyas,http://meas.ose.state.nm.us/site.jsp?id=26&status=Y&type=S&dist=6&basin=NPT,LasJoyas
,LasPalomasCommunityDitch,http://meas.ose.state.nm.us/site.jsp?id=239&status=Y&type=S&dist=4&basin=Hot Springs Basin,LasPalomasCommunityDitch
,LasVegasWWTPDischarge,http://meas.ose.state.nm.us/site.jsp?id=236&status=Y&type=S&dist=6&basin=NPT,LasVegasWWTPDischarge
x,Lefthand,http://meas.ose.state.nm.us/site.jsp?id=97&status=Y&type=S&dist=5&basin=La Plata River,Lefthand
,Llano,http://meas.ose.state.nm.us/site.jsp?id=192&status=Y&type=S&dist=3&basin=Mimbres Basin,Llano
,Llano,http://meas.ose.state.nm.us/site.jsp?id=27&status=Y&type=S&dist=6&basin=NPT,Llano
x,LosOjitos,http://meas.ose.state.nm.us/site.jsp?id=32&status=Y&type=S&dist=6&basin=NPT,LosOjitos
x,LosOrtizes,http://meas.ose.state.nm.us/site.jsp?id=34&status=Y&type=S&dist=6&basin=NPT,LosOrtizes
x,LosRomeros,http://meas.ose.state.nm.us/site.jsp?id=55&status=Y&type=S&dist=6&basin=Gallinas,LosRomeros
x,LosVigiles,http://meas.ose.state.nm.us/site.jsp?id=52&status=Y&type=S&dist=6&basin=Gallinas,LosVigiles
x,LowerAnimas,http://meas.ose.state.nm.us/site.jsp?id=78&status=Y&type=S&dist=5&basin=Animas River,LowerAnimas
,LowerAnimasRd350,http://meas.ose.state.nm.us/site.jsp?id=250&status=Y&type=S&dist=5&basin=Animas River,LowerAnimasRd350
x,LowerConsolidated,http://meas.ose.state.nm.us/site.jsp?id=28&status=Y&type=S&dist=6&basin=NPT,LowerConsolidated
,LowerLasAnimasCreek,http://meas.ose.state.nm.us/site.jsp?id=240&status=Y&type=S&dist=4&basin=Las Animas Creek,LowerLasAnimasCreek
,M-BDitch,http://meas.ose.state.nm.us/site.jsp?id=215&status=Y&type=S&dist=6&basin=Upper Chama,M-BDitch
x,Macedonio,http://meas.ose.state.nm.us/site.jsp?id=198&status=Y&type=S&dist=3&basin=Mimbres Basin,Macedonio
,Madre,http://meas.ose.state.nm.us/site.jsp?id=29&status=Y&type=S&dist=6&basin=NPT,Madre
x,MadredeLasVegas,http://meas.ose.state.nm.us/site.jsp?id=63&status=Y&type=S&dist=6&basin=Gallinas,MadredeLasVegas
x,ManzanaresyMontoya,http://meas.ose.state.nm.us/site.jsp?id=229&status=Y&type=S&dist=6&basin=Lower Chama,ManzanaresyMontoya
x,Mariano,http://meas.ose.state.nm.us/site.jsp?id=125&status=Y&type=S&dist=6&basin=Lower Chama,Mariano
x,Martin,http://meas.ose.state.nm.us/site.jsp?id=107&status=Y&type=S&dist=3&basin=Mimbres Basin,Martin
x,MartinezyDuranes,http://meas.ose.state.nm.us/site.jsp?id=126&status=Y&type=S&dist=6&basin=Lower Chama,MartinezyDuranes
x,McDerrmott,http://meas.ose.state.nm.us/site.jsp?id=98&status=Y&type=S&dist=5&basin=La Plata River,McDerrmott
,Medio,http://meas.ose.state.nm.us/site.jsp?id=30&status=Y&type=S&dist=6&basin=NPT,Medio
x,MiamiLakeLongFlume,http://meas.ose.state.nm.us/site.jsp?id=163&status=Y&type=S&dist=7&basin=Cimarron River,MiamiLakeLongFlume
x,MiddleChaseDitch,http://meas.ose.state.nm.us/site.jsp?id=172&status=Y&type=S&dist=7&basin=Cimarron River,MiddleChaseDitch
x,Montoya,http://meas.ose.state.nm.us/site.jsp?id=108&status=Y&type=S&dist=3&basin=Mimbres Basin,Montoya
x,MorenoCreek,http://meas.ose.state.nm.us/site.jsp?id=186&status=Y&type=S&dist=7&basin=Cimarron River,MorenoCreek
,Nan,http://meas.ose.state.nm.us/site.jsp?id=109&status=Y&type=S&dist=3&basin=Mimbres Basin,Nan
x,NewModel,http://meas.ose.state.nm.us/site.jsp?id=116&status=Y&type=S&dist=3&basin=Gila Basin,NewModel
x,NorthFarmington-WrightLeggett,http://meas.ose.state.nm.us/site.jsp?id=79&status=Y&type=S&dist=5&basin=Animas River,NorthFarmington-WrightLeggett
,Nueva,http://meas.ose.state.nm.us/site.jsp?id=31&status=Y&type=S&dist=6&basin=NPT,Nueva
x,O'SullivanMcSherryPena,http://meas.ose.state.nm.us/site.jsp?id=110&status=Y&type=S&dist=3&basin=Mimbres Basin,O'SullivanMcSherryPena
x,OldMillDitch,http://meas.ose.state.nm.us/site.jsp?id=170&status=Y&type=S&dist=7&basin=Cimarron River,OldMillDitch
,Ortiz,http://meas.ose.state.nm.us/site.jsp?id=33&status=Y&type=S&dist=6&basin=NPT,Ortiz
,OtraVanda,http://meas.ose.state.nm.us/site.jsp?id=45&status=Y&type=S&dist=6&basin=NPT,OtraVanda
,Pappen,http://meas.ose.state.nm.us/site.jsp?id=224&status=Y&type=S&dist=6&basin=Gallinas,Pappen
x,Parkview,http://meas.ose.state.nm.us/site.jsp?id=36&status=Y&type=S&dist=6&basin=Upper Chama,Parkview
x,Parra,http://meas.ose.state.nm.us/site.jsp?id=111&status=Y&type=S&dist=3&basin=Mimbres Basin,Parra
,PaxonRiverPump,http://meas.ose.state.nm.us/site.jsp?id=242&status=Y&type=S&dist=4&basin=Hot Springs Basin,PaxonRiverPump
x,PDL-East,http://meas.ose.state.nm.us/site.jsp?id=149&status=Y&type=S&dist=2&basin=Fort Sumner,PDL-East
x,PDL-West,http://meas.ose.state.nm.us/site.jsp?id=148&status=Y&type=S&dist=2&basin=Fort Sumner,PDL-West
x,Perrault,http://meas.ose.state.nm.us/site.jsp?id=194&status=Y&type=S&dist=3&basin=Mimbres Basin,Perrault
x,PhilmontCanal,http://meas.ose.state.nm.us/site.jsp?id=176&status=Y&type=S&dist=7&basin=Cimarron River,PhilmontCanal
x,PhilmontCito,http://meas.ose.state.nm.us/site.jsp?id=178&status=Y&type=S&dist=7&basin=Cimarron River,PhilmontCito
x,PhilmontWebster,http://meas.ose.state.nm.us/site.jsp?id=177&status=Y&type=S&dist=7&basin=Cimarron River,PhilmontWebster
,PlazaBlanca,http://meas.ose.state.nm.us/site.jsp?id=219&status=Y&type=S&dist=6&basin=Upper Chama,PlazaBlanca
x,Porvenir,http://meas.ose.state.nm.us/site.jsp?id=37&status=Y&type=S&dist=6&basin=Upper Chama,Porvenir
x,Quintana,http://meas.ose.state.nm.us/site.jsp?id=227&status=Y&type=S&dist=6&basin=Lower Chama,Quintana
,RalphEdwardsPond,http://meas.ose.state.nm.us/site.jsp?id=241&status=Y&type=S&dist=4&basin=Hot Springs Basin,RalphEdwardsPond
x,Ralston,http://meas.ose.state.nm.us/site.jsp?id=80&status=Y&type=S&dist=5&basin=Animas River,Ralston
,Ranch101Ditch,http://meas.ose.state.nm.us/site.jsp?id=210&status=Y&type=S&dist=6&basin=Upper Chama,Ranch101Ditch
x,Ranchmans-Terrell,http://meas.ose.state.nm.us/site.jsp?id=81&status=Y&type=S&dist=5&basin=Animas River,Ranchmans-Terrell
,Rancho,http://meas.ose.state.nm.us/site.jsp?id=38&status=Y&type=S&dist=6&basin=NPT,Rancho
,Rincon,http://meas.ose.state.nm.us/site.jsp?id=39&status=Y&type=S&dist=6&basin=NPT,Rincon
,RiodeChama,http://meas.ose.state.nm.us/site.jsp?id=144&status=Y&type=S&dist=6&basin=Lower Chama,RiodeChama
x,RioenMedio,http://meas.ose.state.nm.us/site.jsp?id=140&status=Y&type=S&dist=6&basin=NPT,RioenMedio
